Type,Difficulty,Name,Confidence,Notes
Array,Easy,Two Sum,9,Came to the correct answer without help which was nice. It's always hashmaps
Array,Easy,Contains Duplicate,10,Easy. I was able to come up with two optimal solutions.
Array,Medium,Product of Array Except Self,4,I understood the naive approach but I need more time studying the optimal one.
Array,Easy,Maximum Subarray,,
Array,Medium,Maximum Product Subarray,,
Array,Medium,Find Minimum in Rotated Sorted Array,,
Array,Medium,Search in Rotated Sorted Array,,
Two-Pointer,Easy,Valid Parentheses,,
Two-Pointer,Medium,Container with Most Water,,
Two Pointer,Medium,3 Sum,,
Binary,Medium,Sum of Two Integers,,
Binary,Easy,Number of 1 Bits,,
Binary,Easy,Counting Bits,,
Binary,Easy,Missing Number,,
Binary,Easy,Reverse Bits,,
Dynamic,Easy,Climbing Stairs,,
Dynamic,Medium,Coin Change,,
Dynamic,Medium,Longest Increasing Subsequence,,
Dynamic,Medium,Longest Common Subsequence,,
Dynamic,Medium,Word Break Problem,,
Dynamic,Medium,Combination Sum,,
Dynamic,Medium,House Robber,,
Dynamic,Medium,House Robber II,,
Dynamic,Medium,Decode Ways,,
Dynamic,Medium,Unique Paths,,
Dynamic,Medium,Jump Game,,
Graph,Medium,Clone Graph,,
Graph,Medium,Course Schedule,,
Graph,Medium,Pacific Atlantic Water Flow,,
Graph,Medium,Number of Islands,,
Graph,Medium,Longest Consecutive Sequence,,
Graph,Hard,Alien Dictionary,,
Graph,Medium,Graph Valid Tree,,
Graph,Medium,Number of Connected Components in Undirected Graph,,
Interval,Medium,Insert Interval,,
Interval,Medium,Merge Intervals,,
Interval,Medium,Non-overlapping Intervals,,
Interval,Easy,Meeting Rooms,,
Interval,Medium,Meeting Rooms II,,
Linked List,Easy,Reverse a Linked List,,
Linked List,Easy,Detect Cycle in a Linked List,,
Linked List,Easy,Merge Two Sorted Lists,,
Linked List,Hard,Merge K Sorted Lists,,
Linked List,Medium,Remove Nth Node From End of List,,
Linked List,Medium,Reorder List,,
Matrix,Medium,Set Matrix Zeroes,,
Matrix,Medium,Spiral Matrix,,
Matrix,Medium,Rotate Image,,
Matrix,Medium,Word Search,,
String,Easy,Valid Anagram,,
String,Medium,Group Anagrams,,
String,Easy,Valid Palindrome,8,Need to memorize how to clean strings.
String,Medium,Longest Palindromic Substring,,
String,Medium,Palindromic Substrings,,
String,Medium,Encode and Decode Strings,,
Tree,Easy,Maximum Depth of Binary Tree,,
Tree,Easy,Same Tree,,
Tree,Easy,Invert/Flip Binary Tree,,
Tree,Hard,Binary Tree Maximum Path Sum,,
Tree,Medium,Binary Tree Level Order Traversal,,
Tree,Hard,Serialize and Deserialize Binary Tree,,
Tree,Easy,Subtree of Another Tree,,
Tree,Medium,Construct Binary Tree from Preorder and Inorder Traversal,,
Tree,Medium,Validate Binary Search Tree,,
Tree,Medium,Kth Smallest Element in a BST,,
Tree,Easy,Lowest Common Ancestor of BST,,
Tree,Medium,Implement Trie (Prefix Tree),,
Tree,Medium,Add and Search Word,,
Tree,Hard,Word Search II,,
Sliding Window,Easy,Best Time to Buy and Sell Stock,,
Sliding Window,Medium,Longest Substring w/o Repeating Characters,,
Sliding Window,Medium,Longest Repeating Character Replacement,,
Sliding Window,Hard,Minimum Window Substring,,
Heap,Hard,Merge K Sorted Lists,,
Heap,Medium,Top K Frequent Elements,,
Heap,Hard,Find Median from Data Stream,,